year,all_events,all_battles,all_remote_events,drone_events,capital_remote_events,border_battle_events,capital_remote_fatalities,border_battle_fatalities,capital_share_of_remote_pct,border_share_of_battles_pct,drone_share_of_remote_pct
1997,407,210,45,9,10,0,185,0,22.22,0.0,20.0
1998,305,211,44,5,11,0,75,0,25.0,0.0,11.36
1999,257,158,43,8,3,2,27,4,6.98,1.27,18.6
2000,392,218,85,44,0,1,0,8,0.0,0.46,51.76
2001,342,205,57,31,3,5,0,55,5.26,2.44,54.39
2002,532,273,98,37,5,0,0,0,5.1,0.0,37.76
2003,360,164,54,25,0,1,0,6,0.0,0.61,46.3
2004,637,205,90,44,2,0,2,0,2.22,0.0,48.89
2005,397,156,37,5,2,0,4,0,5.41,0.0,13.51
2006,370,169,63,10,6,2,6,0,9.52,1.18,15.87
2007,437,233,127,11,5,12,67,66,3.94,5.15,8.66
2008,508,253,107,25,2,13,2,22,1.87,5.14,23.36
2009,520,249,80,23,2,3,0,9,2.5,1.2,28.75
2010,419,199,52,12,1,3,0,8,1.92,1.51,23.08
2011,1203,534,396,207,69,38,975,47,17.42,7.12,52.27
2012,977,412,267,178,10,32,6,41,3.75,7.77,66.67
2013,1893,845,410,131,25,75,4,230,6.1,8.88,31.95
2014,3164,1292,692,242,65,144,24,513,9.39,11.15,34.97
2015,11233,3328,6564,4753,618,279,943,1597,9.41,8.38,72.41
2016,24573,7248,15266,9912,1033,1529,2563,5865,6.77,21.1,64.93
2017,48056,14321,31012,15893,879,4989,1318,15119,2.83,34.84,51.25
2018,36706,10554,23303,8624,511,4857,489,18540,2.19,46.02,37.01
2019,35695,8794,23771,8212,366,3392,289,10815,1.54,38.57,34.55
2020,27950,8739,15501,4989,565,2603,274,3675,3.64,29.79,32.19
2021,24802,7161,13667,5136,176,2563,162,2292,1.29,35.79,37.58
2022,26534,6871,15507,4194,158,3539,88,2665,1.02,51.51,27.05
2023,34479,11031,17932,6372,475,4452,481,4626,2.65,40.36,35.53
2024,60753,11141,43191,22845,671,4968,518,9228,1.55,44.59,52.89
2025,10993,2516,5848,3056,92,652,109,502,1.57,25.91,52.26
